HRS1,marital,childs,age,educ,sex,born,income,region,partyid,polviews,attend,pray
60,Divorced,0,53,6 years,Male,Yes,"$25,000 or over",New England,Not very strong Republican,Conservative,Never,Never
40,Married,0,26,6 years,Female,Yes,"$25,000 or over",New England,Not very strong Republican,Slightly conservative,Every week,Once a day
60,Married,1,56,5 years,Female,Yes,"$25,000 or over",New England,Strong Republican,Slightly conservative,Less than once a year,Several times a week
55,Married,3,30,3 years,Female,Yes,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)",Slightly liberal,Several times a year,Less than once a week
37,Married,2,40,11th grade,Female,Yes,"$20,000 to 24,999",Middle Atlantic,Not very strong Democrat,Slightly liberal,Never,Less than once a week
55,Never married,0,46,1 year of college,Male,Yes,"$25,000 or over",New England,"Independent (Neither, No response)","Moderate, middle of the road",Never,Never
50,Married,2,51,2 years,Male,No,"$25,000 or over",New England,"Independent, close to Republican",Slightly liberal,Two to three times a month,Once a day
38,Divorced,2,39,8th grade,Female,No,"$7,000 to 7,999",New England,Not very strong Democrat,"Moderate, middle of the road",More than once a week,Once a day
38,Divorced,2,30,2 years,Female,No,"$20,000 to 24,999",New England,"Independent (Neither, No response)","Moderate, middle of the road",Every week,Several times a day
40,Never married,2,38,3 years,Female,No,"$25,000 or over",Middle Atlantic,Strong Democrat,Liberal,Once a month,Once a day
40,Separated,2,35,1 year of college,Male,Yes,"$20,000 to 24,999",Middle Atlantic,"Independent (Neither, No response)","Moderate, middle of the road",Once a year,Once a week
40,Married,6,57,6 years,Male,Yes,"$25,000 or over",Middle Atlantic,Not very strong Republican,Conservative,More than once a week,Several times a day
40,Married,2,50,3 years,Male,Yes,"$25,000 or over",Middle Atlantic,"Independent, close to Democrat",Slightly liberal,Once a year,Several times a week
40,Divorced,1,54,6 years,Male,Yes,"$25,000 or over",Middle Atlantic,"Independent, close to Democrat",Extremely liberal,Never,Never
40,Divorced,3,61,6 years,Female,Yes,"$25,000 or over",Middle Atlantic,"Independent, close to Democrat",Slightly conservative,Nearly every week,Once a day
40,Married,2,53,12th grade,Male,No,"$25,000 or over",Middle Atlantic,Not very strong Democrat,"Moderate, middle of the road",Every week,Several times a week
40,Never married,2,38,11th grade,Female,No,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)",Slightly liberal,More than once a week,Several times a day
39,Divorced,0,31,2 years,Male,Yes,"$25,000 or over",Middle Atlantic,"Independent, close to Republican","Moderate, middle of the road",Never,Never
50,Married,1,35,6 years,Male,Yes,"$25,000 or over",Middle Atlantic,Not very strong Democrat,Liberal,Once a month,Less than once a week
60,Separated,1,50,6 years,Female,Yes,"$25,000 or over",Middle Atlantic,Strong Republican,Liberal,Every week,Several times a day
40,Never married,2,43,12th grade,Female,Yes,"$25,000 or over",Middle Atlantic,Strong Democrat,Liberal,Once a year,Several times a day
45,Never married,0,30,3 years,Male,Yes,"$25,000 or over",Middle Atlantic,Not very strong Republican,Conservative,Never,Never
40,Married,4,59,11th grade,Male,No,"$25,000 or over",Middle Atlantic,Not very strong Democrat,"Moderate, middle of the road",Once a year,Less than once a week
40,Married,0,32,3 years,Female,No,"$25,000 or over",Middle Atlantic,Not very strong Democrat,"Moderate, middle of the road",Never,Never
40,Married,2,32,2 years,Male,No,"$25,000 or over",Middle Atlantic,Not very strong Democrat,Slightly liberal,Two to three times a month,Once a week
40,Married,3,52,6 years,Female,No,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)",Slightly liberal,Never,Never
40,Married,1,42,6 years,Male,Yes,"$25,000 or over",Middle Atlantic,Strong Democrat,Extremely liberal,Once a year,Never
60,Married,0,29,2 years,Male,No,"$25,000 or over",Middle Atlantic,Strong Democrat,Liberal,Less than once a year,Never
40,Married,1,51,6 years,Male,No,"$25,000 or over",Middle Atlantic,Not very strong Republican,Slightly conservative,Less than once a year,Never
40,Never married,0,44,6 years,Female,No,"$25,000 or over",Middle Atlantic,Not very strong Democrat,Slightly liberal,Less than once a year,Never
30,Never married,0,56,6 years,Female,No,"$25,000 or over",Middle Atlantic,Strong Republican,Conservative,Two to three times a month,Several times a day
36,Never married,0,32,6 years,Female,Yes,"$20,000 to 24,999",Middle Atlantic,"Independent, close to Democrat",Liberal,Less than once a year,Less than once a week
40,Never married,0,47,6 years,Female,No,"$25,000 or over",Middle Atlantic,"Independent, close to Democrat","Moderate, middle of the road",Once a month,Several times a day
55,Married,0,34,8 years,Male,No,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)",Slightly conservative,Several times a year,Once a day
35,Married,2,69,6 years,Male,Yes,"$25,000 or over",Middle Atlantic,Strong Democrat,Liberal,Never,Never
50,Married,0,65,6 years,Female,Yes,"$25,000 or over",Middle Atlantic,Not very strong Republican,Extremely conservative,Several times a year,Never
70,Divorced,3,57,6 years,Male,Yes,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)",Conservative,Several times a year,Once a day
50,Never married,0,24,6 years,Male,Yes,"$25,000 or over",Middle Atlantic,Not very strong Republican,Slightly conservative,Once a year,Never
40,Never married,0,32,12th grade,Male,Yes,"$25,000 or over",Middle Atlantic,Strong Republican,"Moderate, middle of the road",Never,Never
45,Married,2,51,6 years,Female,Yes,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)",Slightly conservative,Once a year,Less than once a week
60,Married,1,39,8 years,Female,Yes,"$25,000 or over",Middle Atlantic,Strong Democrat,Liberal,Once a year,Never
60,Married,2,54,6 years,Male,Yes,"$25,000 or over",Middle Atlantic,Not very strong Democrat,"Moderate, middle of the road",Once a year,Less than once a week
65,Divorced,1,58,6 years,Female,Yes,"$25,000 or over",Middle Atlantic,Strong Democrat,Slightly liberal,Several times a year,Once a day
45,Married,3,51,11th grade,Male,Yes,"$10,000 to 14,999",Middle Atlantic,"Independent, close to Democrat",Extremely liberal,Never,Once a week
37,Married,2,41,6 years,Male,No,"$25,000 or over",Middle Atlantic,Not very strong Democrat,"Moderate, middle of the road",Once a month,Several times a day
65,Never married,2,25,12th grade,Male,Yes,"$25,000 or over",Middle Atlantic,Strong Democrat,"Moderate, middle of the road",Several times a year,Less than once a week
45,Never married,1,45,3 years,Male,Yes,"$25,000 or over",Middle Atlantic,Not very strong Republican,"Moderate, middle of the road",Every week,Once a day
40,Never married,2,37,12th grade,Female,No,"$25,000 or over",Middle Atlantic,"Independent, close to Democrat",Conservative,More than once a week,Several times a day
56,Never married,3,43,1 year of college,Female,Yes,"$25,000 or over",Middle Atlantic,Strong Democrat,Extremely liberal,Every week,Several times a day
55,Never married,0,32,6 years,Male,No,"$25,000 or over",Middle Atlantic,"Independent, close to Democrat",Liberal,Never,Never
36,Widowed,3,65,12th grade,Female,No,"$25,000 or over",Middle Atlantic,Strong Democrat,Conservative,Every week,Several times a day
38,Married,0,32,6 years,Female,Yes,"$25,000 or over",Middle Atlantic,"Independent, close to Democrat","Moderate, middle of the road",Never,Once a week
50,Married,1,41,6 years,Male,Yes,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)","Moderate, middle of the road",Never,Never
40,Married,2,42,8 years,Male,Yes,"$25,000 or over",Middle Atlantic,"Independent, close to Republican",Slightly conservative,Never,Never
50,Never married,0,23,6 years,Male,No,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)",Slightly liberal,Every week,Once a day
40,Never married,0,26,12th grade,Male,No,"$20,000 to 24,999",Middle Atlantic,"Independent (Neither, No response)","Moderate, middle of the road",Never,Less than once a week
50,Married,0,29,12th grade,Female,Yes,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)",Conservative,Every week,Several times a day
50,Never married,1,28,12th grade,Male,Yes,"$25,000 or over",Middle Atlantic,"Independent, close to Democrat","Moderate, middle of the road",Never,Never
50,Never married,0,35,6 years,Female,Yes,"$25,000 or over",Middle Atlantic,"Independent, close to Democrat","Moderate, middle of the road",Every week,Several times a day
40,Never married,0,30,6 years,Male,Yes,"$25,000 or over",Middle Atlantic,Strong Democrat,Liberal,Never,Never
40,Never married,0,58,6 years,Female,Yes,"$25,000 or over",Middle Atlantic,"Independent, close to Democrat",Liberal,Never,Once a day
40,Never married,0,32,2 years,Male,Yes,"$25,000 or over",Middle Atlantic,Not very strong Democrat,"Moderate, middle of the road",Never,Less than once a week
60,Married,0,38,8 years,Male,No,"$25,000 or over",Middle Atlantic,Not very strong Republican,"Moderate, middle of the road",Never,Several times a week
37,Separated,1,47,1 year of college,Male,Yes,"$25,000 or over",Middle Atlantic,Strong Democrat,Liberal,Several times a year,Once a day
40,Married,4,53,6 years,Male,No,"$25,000 or over",Middle Atlantic,"Independent, close to Democrat",Slightly conservative,Once a year,Several times a week
57,Never married,0,30,8 years,Female,Yes,"$25,000 or over",Middle Atlantic,Not very strong Democrat,Slightly liberal,Once a year,Less than once a week
30,Married,2,61,8 years,Male,Yes,"$25,000 or over",Middle Atlantic,Strong Republican,Extremely conservative,Two to three times a month,Several times a week
40,Married,1,41,8 years,Male,Yes,"$25,000 or over",Middle Atlantic,Not very strong Democrat,"Moderate, middle of the road",Several times a year,Once a day
40,Married,2,57,6 years,Female,No,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)",Slightly conservative,Never,Never
37,Never married,0,29,2 years,Female,Yes,"$25,000 or over",Middle Atlantic,Not very strong Republican,Conservative,Never,Never
60,Married,2,40,8 years,Male,Yes,"$25,000 or over",Middle Atlantic,Strong Republican,Conservative,Never,Never
40,Never married,0,21,2 years,Male,Yes,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)","Moderate, middle of the road",Less than once a year,Never
40,Married,6,55,12th grade,Male,Yes,"$25,000 or over",Middle Atlantic,"Independent (Neither, No response)",Slightly conservative,Two to three times a month,Once a day
89,Separated,2,37,12th grade,Male,Yes,"$25,000 or over",Middle Atlantic,"Other party, refused to say",Slightly liberal,Several times a year,Less than once a week
36,Never married,0,37,6 years,Female,Yes,"$25,000 or over",Middle Atlantic,"Independent, close to Democrat","Moderate, middle of the road",Two to three times a month,Several times a day
