V161003,V161086,V161087,V161088,V161089,V161090,V161091,V161092,V161093,V161094,V161095,V161096,V161109,V161126,V161134A,V161178,V161181,V161184,V161187,V161189,V161198,V161201,V161295,V161361X,V162096,V162097,V162098,V162099,V162100,V162101,V162105
3,0,85,-89,-89,0,70,0,15,-89,0,70,3,99,-1,99,6,6,3,7,7,6,60,13,50,50,50,70,70,70,50
1,0,85,50,-89,-89,85,30,50,-89,15,85,2,5,-1,4,6,1,3,4,7,2,40,17,50,50,50,50,40,60,50
4,50,60,-89,-89,-89,-89,30,50,-89,50,50,2,99,-1,99,6,6,2,7,7,99,40,6,50,50,60,60,70,50,50
3,0,60,99,99,40,60,15,50,99,30,70,1,99,-4,3,5,6,3,5,5,5,40,20,50,50,40,50,40,50,50
3,15,0,70,50,50,-88,40,70,50,70,40,3,4,-1,99,2,1,1,7,7,1,15,3,70,70,85,85,50,70,70
1,0,50,50,50,15,70,0,40,-89,15,30,3,6,48,3,6,6,2,7,5,6,35,1,50,15,2,50,70,50,50
2,85,0,-89,-89,30,60,100,85,40,85,15,1,99,-1,7,5,6,1,1,1,99,45,22,50,85,70,100,50,85,50
1,15,85,15,50,0,85,0,15,-89,0,40,1,5,41,2,5,7,3,7,7,2,50,28,40,30,70,100,40,40,85
1,15,60,50,50,30,85,0,0,-89,15,60,0,4,48,3,5,7,3,7,7,99,40,12,50,15,30,50,60,60,30
3,60,50,-89,50,-89,-88,70,50,-89,50,50,3,3,-1,3,4,1,1,4,4,3,50,19,50,50,60,50,50,50,50
4,0,50,-89,-88,-89,-89,0,30,-89,0,60,1,99,70,4,6,4,3,5,6,4,28,11,-6,-6,-6,-6,-6,-6,-6
2,85,0,50,-89,85,30,100,50,50,85,30,1,2,80,99,3,2,1,1,99,1,-1,14,-6,-6,-6,-6,-6,-6,-6
2,40,30,70,50,50,50,60,60,-88,40,70,1,4,43,4,2,1,2,3,2,2,56,24,50,70,70,100,50,70,85
