caseid,humanori,atlantis,posthink,fortunet,astrolog,haunting,dreams,ufos,bigfoot,WATCH_TA,WATCH_CO,WATCH_TR,WATCH_CR
2,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Very often,Rarely,Very often,Often
3,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Rarely,Sometimes,Never,Never
4,"God created man pretty much in his present form at one time within the last 10,000 years",,,,,,,,,Never,Never,Sometimes,Sometimes
5,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Rarely,Rarely,Rarely,Never
6,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Never,Rarely,Sometimes,Sometimes
7,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Sometimes,Sometimes
8,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",,,,,,,,,,,,
9,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Rarely,Sometimes,Rarely,Rarely
10,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Never,Never,Rarely,Very often
11,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Often,Sometimes,Rarely,Never
12,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Never,Never,Never,Rarely
13,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly disagree,Very often,Very often,Rarely,Rarely
14,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Rarely,Rarely,Sometimes,Sometimes
15,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Disagree,Disagree,Sometimes,Never,Sometimes,Sometimes
16,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Never,Sometimes,Never,Sometimes
17,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Rarely,Never,Sometimes
18,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Rarely,Often,Rarely,Often
19,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Never,Rarely,Rarely,Rarely
20,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
21,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Sometimes,Sometimes,Rarely
22,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Sometimes,Rarely,Rarely
23,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Often,Never,Never,Never
24,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Often,Rarely,Sometimes
25,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Sometimes,Often,Sometimes,Often
26,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Rarely,Sometimes,,Sometimes
27,,Agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Never,Never,Never,Never
28,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Sometimes,Very often,Sometimes,Very often
29,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Rarely,Never,Rarely,Rarely
30,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
31,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Rarely,Rarely,Rarely,Never
32,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Sometimes,Rarely,Often,Often
33,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Rarely,Rarely,Never,Never
35,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Rarely,Never,Never,Often
36,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Never,Never,Never,Often
37,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Sometimes,Sometimes,Sometimes
38,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Never,Never,Never,Often
39,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Agree,Sometimes,Sometimes,Rarely,Never
40,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,,Strongly disagree,Sometimes,Sometimes,Sometimes,Sometimes
41,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,,Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,,Sometimes,Sometimes,Rarely
42,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Often,Often,Sometimes,Rarely
43,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Often,Very often,Sometimes,Often
44,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Often,Rarely,Often,
45,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Rarely,Rarely,Rarely,Rarely
46,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Often,Never,Never
48,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Rarely,Sometimes,Never,Never
49,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very often,Never,Never,Very often
50,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Never,Never,Often,Rarely
51,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Often
52,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Rarely,Rarely,Never,Never
