kidneydisease,belowpoverty,STATE,COUNTY,state,State,County,FIPS,mmrrate,college,poverty,unemployment,income,uninsurerate
16.51,35.46,Arizona,Apache,AZ,AZ,Apache,04001,0.9,15.26852353,29.6,7.9,40632,0.13029710347396853
22.91,16.61,Arizona,Cochise,AZ,AZ,Cochise,04003,0.891,27.65771519,16.3,4.5,55254,0.11186103241191464
22.3,17.6,Arizona,Coconino,AZ,AZ,Coconino,04005,0.868,39.61938901,17.8,4.2,64016,0.1381327882532747
19.67,21.59,Arizona,Gila,AZ,AZ,Gila,04007,0.799,18.847189,17.7,4.3,51928,0.15185588893350926
16.82,22.6,Arizona,Graham,AZ,AZ,Graham,04009,0.913,14.5913219,17.3,3.7,63797,0.1131238202470444
10.71,13.31,Arizona,Greenlee,AZ,AZ,Greenlee,04011,0.842,20.4145937,9.7,2.9,76338,0.09305573187761838
19.47,22.44,Arizona,La Paz,AZ,AZ,La Paz,04012,0.952,13.85510312,18.7,4.8,53925,0.1693875314999452
27.04,13.77,Arizona,Maricopa,AZ,AZ,Maricopa,04013,0.875,35.8580058,11.1,3.4,83668,0.12470963478183196
23.79,16.38,Arizona,Mohave,AZ,AZ,Mohave,04015,0.76,14.88545564,16.8,4.5,54842,0.14100780559343754
19.01,27.9,Arizona,Navajo,AZ,AZ,Navajo,04017,0.797,17.63149466,24.7,5.7,49948,0.15404321970903684
23.04,16.81,Arizona,Pima,AZ,AZ,Pima,04019,0.928,35.87062743,14,3.8,64007,0.11303486348234593
22.75,13.15,Arizona,Pinal,AZ,AZ,Pinal,04021,0.89,22.15021581,11.8,4.1,76232,0.1321722263519792
16.18,23.26,Arizona,Santa Cruz,AZ,AZ,Santa Cruz,04023,0.964,24.06951855,20.1,7.6,53467,0.1999431392313458
21.18,13.03,Arizona,Yavapai,AZ,AZ,Yavapai,04025,0.752,29.60225254,12.8,3.6,64187,0.16141115363245329
22.63,19.43,Arizona,Yuma,AZ,AZ,Yuma,04027,0.954,16.67198836,15.9,13.2,54209,0.1673820281913189
24.39,9.91,California,Alameda,CA,CA,Alameda,06001,0.96359,51.4693647,9.5,4.1,121190,0.04495178808748468
20.69,9.95,California,Amador,CA,CA,Amador,06005,0.96269,22.44339158,11.7,5.1,74356,0.0572942477032745
18.63,19.07,California,Butte,CA,CA,Butte,06007,0.96918,31.72056427,19.9,5.2,63353,0.0756578947368421
16.33,11.42,California,Calaveras,CA,CA,Calaveras,06009,0.93852,22.18580154,12.2,4.2,73175,0.06935284729123378
24.79,13.04,California,Colusa,CA,CA,Colusa,06011,0.98337,14.52397996,12.3,13,72963,0.09775552866101882
22.28,8.7,California,Contra Costa,CA,CA,Contra Costa,06013,0.97856,44.91015897,8.3,4.1,119667,0.05240215598393842
22.06,19.47,California,Del Norte,CA,CA,Del Norte,06015,0.91964,20.97416008,13.8,5.7,57297,0.0804093567251462
17.13,8.38,California,El Dorado,CA,CA,El Dorado,06017,0.8029,38.82410175,7,4,104859,0.05170280303437886
27.6,22.55,California,Fresno,CA,CA,Fresno,06019,0.97461,23.85449591,17.7,7.5,68693,0.0766190401787006
17.46,17.51,California,Glenn,CA,CA,Glenn,06021,0.80806,16.48233652,13.5,6.3,63247,0.09155597722960152
19.96,20.12,California,Humboldt,CA,CA,Humboldt,06023,0.92801,32.08513824,16.7,4.6,57660,0.06956268166724675
33.62,24.09,California,Imperial,CA,CA,Imperial,06025,0.9787,16.10026948,17.3,17.3,55523,0.08595467293261579
18.69,9.31,California,Inyo,CA,CA,Inyo,06027,0.95556,31.81981723,11.8,3.8,64332,0.07341939269473376
22.13,21,California,Kern,CA,CA,Kern,06029,0.90718,18.57357599,19,8.3,65981,0.07729615190100315
24.67,18.2,California,Kings,CA,CA,Kings,06031,0.98119,13.91909571,17.5,8.2,63683,0.07293438311499756
20.57,18.61,California,Lake,CA,CA,Lake,06033,0.95323,17.74394605,17.6,5.8,51848,0.07506588125871957
