X,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
3,US,"Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish.",Reserve Late Harvest,87,13,Michigan,Lake Michigan Shore,,Alexander Peartree,,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,St. Julian
1266,US,"Waxy floral and lemon skin notes are elegantly subdued on this concentrated semidry Riesling. Juicy on the palate with abundant peach preserve flavors, it finishes moderately long with on a slightly drying, tea inflected note.",Arcturos,85,16,Michigan,Michigan,,Anna Lee C. Iijima,,Black Star Farms 2010 Arcturos Riesling (Michigan),Riesling,Black Star Farms
1396,US,"Dark-berry aromas meet hints of menthol and game on the nose. The medium-bodied palate follows suit on entry, but becomes lighter by the midpalate from a slick of minerality. Pair alongside gamy meats such as grilled venison loin.",Estate Grown,88,50,Michigan,Old Mission Peninsula,,Alexander Peartree,,Brys 2012 Estate Grown Cabernet Franc (Old Mission Peninsula),Cabernet Franc,Brys
1401,US,"With 26 months in small oak barrels, aromas of coconut cream, finely ground sawdust and cherry stems ride over condensed black cherry and currant. The medium-weight palate has a plush feel to it, offering a balance of ripe berry fruit and zesty streaks of minerals.",Reserve,88,25,Michigan,Old Mission Peninsula,,Alexander Peartree,,Chateau Grand Traverse 2012 Reserve Cabernet Franc (Old Mission Peninsula),Cabernet Franc,Chateau Grand Traverse
1836,US,"Grilled peach and almond notes show on the nose, while the palate is tighter in profile, offering apple pomace and lemon rind.",Dry,84,19,Michigan,Leelanau Peninsula,,Alexander Peartree,,Good Harbor 2011 Dry Riesling (Leelanau Peninsula),Riesling,Good Harbor
2922,US,"A pretty, grapey wine with tones of pine and lemon underlying flavors of green plum and quince. It's flavorful, off-dry and refreshing; a good expression of Seyval Blanc.",,84,9,Missouri,Augusta,,,,Augusta Winery 2008 Seyval Blanc (Augusta),Seyval Blanc,Augusta Winery
3389,US,"Lemon pith and ripe peach aromas are clouded under a distinctly medicinal tone of baby aspirin. While there is nice roundness to the palate and balanced acidity to boot, the flavors are mild showings of orchard fruit and lemon curd.",Wren Song,84,25,Michigan,Lake Michigan Shore,,Alexander Peartree,,Wyncroft 2013 Wren Song Riesling (Lake Michigan Shore),Riesling,Wyncroft
3404,US,Faint notes of yuzu rise over underripe peach in this unoaked Chardonnay. The light-bodied palate shows a mild concentration of lemon leading to a short but clean finish.,Unoaked,84,32,Michigan,Lake Michigan Shore,,Alexander Peartree,,Three Fires 2013 Unoaked Chardonnay (Lake Michigan Shore),Chardonnay,Three Fires
3405,US,"Muddled aromas of tangerine, grapefruit and papaya seem a bit soapy in character. The palate feels a bit underripe, showing milky florals upfront and unconcentrated citrus on the back.",Dry,84,18,Michigan,Leelanau Peninsula,,Alexander Peartree,,Verterra 2014 Dry Gewurztraminer (Leelanau Peninsula),GewÃ¼rztraminer,Verterra
6514,US,"A blend of 70% Cabernet Franc and 30% Merlot, this feels a little light on flesh, providing little cushion to the high acids. A campfire smokiness underscores the rusty dark-fruit note, which ultimately finishes a bit short.",,83,NA,Michigan,Old Mission Peninsula,,,,2 Lads 2009 Cabernet Franc-Merlot (Old Mission Peninsula),Cabernet Franc-Merlot,2 Lads
6515,US,"A hit of sulfur slowly blows off to reveal aromas of hot stone and maple syrup, with undertones of dark stone fruit and dill. The medium-bodied palate offers soft acids that lend a slightly flat feel, with mild tannins adding some support.",Estate Grown,83,30,Michigan,Old Mission Peninsula,,,,Brys 2010 Estate Grown Pinot Noir (Old Mission Peninsula),Pinot Noir,Brys
6517,US,"Notes of spiced toast, Raisinets, hickory and prune mingle on the smoky, slightly baked nose. The flavors are concentrated and intense, but the baked quality is a little too distracting.",Bethlehem Valley,83,25,Missouri,Missouri,,,,Mount Pleasant Winery 2007 Bethlehem Valley Norton (Missouri),Norton,Mount Pleasant Winery
6524,US,"Flavors of berry preserves and toast are loosely concentrated, with peppy acids that charge the palate. It finishes rather short on flavor; the tannic grip is the lasting element.",Dry,83,12,Missouri,Missouri,,,,Mount Pleasant Winery NV Dry Norton (Missouri),Norton,Mount Pleasant Winery
6539,US,"Chewy tannins and tart acids buttress the midpalate's broad berry flavor. The fruit seems to thin out on the finish, concluding with more bone and muscle than succulent flesh. Pairing this with a rare burger would help tame the structural components.",,83,15,Ohio,Grand River Valley,,,,DebonnÃ© 2009 Cabernet Franc (Grand River Valley),Cabernet Franc,DebonnÃ©
6561,US,"Green apple with a squeeze of fresh lemon makes for a basic and easy unoaked Chardonnay. While standard and simple, this is a perfectly enjoyable wine to pair with lighter fare.",Unwooded,85,15,Michigan,Old Mission Peninsula,,Alexander Peartree,,Bowers Harbor 2013 Unwooded Chardonnay (Old Mission Peninsula),Chardonnay,Bowers Harbor
6905,US,"This eponymous label of winemaker Nathaniel Rose is one of his many endeavors in the Michigan wine scene. While the name â€œLeft Bankâ€ evokes Bordeaux, this is clearly a New World-style red, boasting bouncy fruit aromas of dark cherry and spiced raspberry, with cola and cough-syrup notes in the background. The medium-bodied palate is supported by grainy tannins, yet there's a good balance of juicy, red fruit and streaks of granite.",Left Bank Abigail's Vineyard Domaine Barrien,87,250,Michigan,Lake Michigan Shore,,Alexander Peartree,,Nathaniel Rose 2012 Left Bank Abigail's Vineyard Domaine Barrien Cabernet Sauvignon (Lake Michigan Shore),Cabernet Sauvignon,Nathaniel Rose
