state,county,fips,cases2020,cases2021,casestotal,deaths2020,deaths2021,deathstotal,popsize,male,age18,white,college,poverty,healthcare
Minnesota,Aitkin,27001,1023,1401,2424,32,22,54,15826,7995,13221,15255,2280,1912,25
Minnesota,Anoka,27003,28973,42645,71618,323,353,676,353775,176963,269260,305167,73391,20270,552
Minnesota,Becker,27005,2680,3938,6618,36,45,81,34227,17029,25915,31535,6035,3588,55
Minnesota,Beltrami,27007,2871,5932,8803,41,70,111,46784,23283,35006,36504,8628,8167,127
Minnesota,Benton,27009,3888,6160,10048,78,62,140,40476,20137,30174,37561,6221,3357,65
Minnesota,Big Stone,27011,434,580,1014,3,4,7,4974,2473,3908,4952,654,596,12
Minnesota,Blue Earth,27013,5040,7692,12732,28,54,82,67368,33695,54066,62283,13651,10510,175
Minnesota,Brown,27015,2011,3020,5031,32,34,66,25076,12558,19608,24047,3895,1687,62
Minnesota,Carlton,27017,2595,3520,6115,37,43,80,35709,18700,27695,32879,5666,3677,68
Minnesota,Carver,27019,6449,12329,18778,33,57,90,103561,51496,75949,96875,33289,3476,195
Minnesota,Cass,27021,1928,3463,5391,20,44,64,29462,15104,23267,25862,5397,3775,53
Minnesota,Chippewa,27023,1275,1077,2352,29,14,43,11876,5940,9117,10644,1622,1138,39
Minnesota,Chisago,27025,4149,6872,11021,27,73,100,55844,29036,43120,54133,8656,3490,103
Minnesota,Clay,27027,6163,7008,13171,78,35,113,64029,31482,48302,59017,13284,7835,111
Minnesota,Clearwater,27029,657,1034,1691,14,11,25,8872,4485,6672,8100,1069,1239,17
Minnesota,Cook,27031,104,252,356,0,1,1,5402,2699,4566,4759,1934,543,13
Minnesota,Cottonwood,27033,1221,1266,2487,15,19,34,11279,5635,8523,10156,1596,1295,25
Minnesota,Crow Wing,27035,4509,7705,12214,64,75,139,64775,32218,50822,63084,12150,6359,188
Minnesota,Dakota,27037,30280,46110,76390,277,378,655,425271,209837,321489,361437,122588,24475,801
Minnesota,Dodge,27039,1175,2804,3979,4,9,13,20807,10500,15362,19874,3779,982,NA
Minnesota,Douglas,27041,3481,5044,8525,59,44,103,37820,18998,29713,37274,7366,2931,123
Minnesota,Faribault,27043,911,1930,2841,11,29,40,13727,6908,10698,13463,1939,1453,29
Minnesota,Fillmore,27045,1110,2344,3454,1,16,17,21031,10595,15877,20682,3256,1923,NA
Minnesota,Freeborn,27047,1992,4357,6349,18,33,51,30465,15161,23784,28192,3713,2916,51
Minnesota,Goodhue,27049,3059,6184,9243,42,67,109,46330,23123,36085,44150,8621,3899,103
Minnesota,Grant,27051,390,730,1120,7,5,12,5962,3032,4592,5895,758,556,13
Minnesota,Hennepin,27053,86273,117430,203703,1382,797,2179,1255296,620859,979708,940789,445598,125264,3120
Minnesota,Houston,27055,1185,1975,3160,12,6,18,18670,9309,14577,18288,3226,1393,30
Minnesota,Hubbard,27057,1396,2409,3805,37,14,51,21287,10844,16833,20319,4419,2379,42
Minnesota,Isanti,27059,2636,5213,7849,31,66,97,40004,20235,30529,38904,4998,2989,69
Minnesota,Itasca,27061,2692,5808,8500,39,75,114,45180,22863,35782,43167,8071,5415,132
Minnesota,Jackson,27063,791,935,1726,8,8,16,9873,5023,7734,9488,1611,731,24
Minnesota,Kanabec,27065,924,1901,2825,18,27,45,16205,8143,12743,15938,1695,1505,34
Minnesota,Kandiyohi,27067,5379,5151,10530,65,53,118,42909,21459,32456,38288,7041,4321,101
Minnesota,Kittson,27069,341,515,856,18,6,24,4272,2150,3364,4159,808,490,9
Minnesota,Koochiching,27071,546,1450,1996,9,20,29,12355,6213,10130,11832,1402,1463,33
Minnesota,Lac qui Parle,27073,603,738,1341,14,12,26,6645,3334,5332,6444,924,589,15
Minnesota,Lake,27075,547,928,1475,15,11,26,10571,5481,8713,10348,2253,829,29
Minnesota,Lake of the Woods,27077,152,414,566,1,4,5,3747,2004,3001,3671,598,363,NA
Minnesota,Le Sueur,27079,1950,3124,5074,15,26,41,28425,14318,21668,27582,4493,2268,54
Minnesota,Lincoln,27081,454,493,947,1,4,5,5641,2841,4308,5584,764,615,12
Minnesota,Lyon,27083,2847,2774,5621,29,37,66,25696,12661,19095,22522,4313,3165,78
Minnesota,Mahnomen,27087,396,764,1160,7,9,16,5508,2792,3784,3326,432,1130,9
Minnesota,Marshall,27089,675,980,1655,12,11,23,9353,4741,7203,9137,1210,634,12
Minnesota,Martin,27091,1570,2665,4235,25,27,52,19737,9905,15448,19319,3050,2524,50
Minnesota,McLeod,27085,3073,4836,7909,39,53,92,35788,17808,27561,34343,4296,2527,81
Minnesota,Meeker,27093,1879,2863,4742,32,35,67,23149,11833,17529,22628,2871,1541,46
Minnesota,Mille Lacs,27095,2028,3798,5826,43,50,93,25963,13027,19755,24147,2866,2811,58
Minnesota,Morrison,27097,2914,4258,7172,43,44,87,33119,16736,25268,32608,3974,3359,61
Minnesota,Mower,27099,3321,4620,7941,25,30,55,39931,20227,29876,35046,6049,5277,63
Minnesota,Murray,27101,755,861,1616,5,9,14,8247,4117,6477,8007,1230,572,13
Minnesota,Nicollet,27103,2073,3651,5724,32,30,62,34176,17039,26647,32347,7646,2699,72
Minnesota,Nobles,27105,3530,1939,5469,46,10,56,21667,11267,15696,17423,2255,2575,43
Minnesota,Norman,27107,410,684,1094,8,2,10,6466,3227,4934,6203,958,590,13
Minnesota,Olmsted,27109,9309,15758,25067,61,78,139,156446,76400,118074,134532,49413,12377,316
Minnesota,Otter Tail,27111,4216,6340,10556,50,94,144,58416,29371,45730,56296,10793,5018,130
Minnesota,Pennington,27113,905,1764,2669,14,18,32,14110,6994,10832,13498,1911,1466,34
Minnesota,Pine,27115,2472,3205,5677,12,36,48,29254,15658,23517,27428,3287,2914,54
Minnesota,Pipestone,27117,875,747,1622,21,9,30,9163,4433,6809,8760,1201,925,23
Minnesota,Polk,27119,3198,3159,6357,49,42,91,31384,15970,23753,29128,5756,3563,59
Minnesota,Pope,27121,690,1589,2279,4,10,14,11107,5593,8832,10882,1822,915,22
Minnesota,Ramsey,27123,37111,47041,84152,688,441,1129,546598,266663,419280,381063,157352,71487,1401
Minnesota,Red Lake,27125,309,427,736,4,7,11,4005,2050,3024,3900,478,427,NA
